name,topics,topic_0,topic_1
昨新增1例确诊为境外输入,"[(0, 0.0256816), (1, 0.9743184)]",0.025681599974632263,0.9743183851242065
上海科学家联合团队获重要成果,"[(0, 0.9470516), (1, 0.05294842)]",0.9470515847206116,0.052948419004678726
虹口“花园夜坊”开市了,"[(0, 0.3874382), (1, 0.6125618)]",0.38743820786476135,0.612561821937561
新晋电竞女解说“开挂”了,"[(0, 0.31978247), (1, 0.6802175)]",0.31978246569633484,0.6802175045013428
口罩上的艺术,"[(0, 0.39058474), (1, 0.6094153)]",0.3905847370624542,0.6094152927398682
探讨孩子劳动60万家长挤瘫网络,"[(0, 0.9805794), (1, 0.019420583)]",0.9805793762207031,0.019420582801103592
“我认为中国应该非常自豪”,"[(0, 0.61923116), (1, 0.38076887)]",0.6192311644554138,0.38076886534690857
人满为患  加州关闭部分海滩,"[(0, 0.27873087), (1, 0.72126913)]",0.2787308692932129,0.7212691307067871
朝鲜最高领导人金正恩现场剪彩,"[(0, 0.9077852), (1, 0.09221485)]",0.907785177230835,0.09221485257148743
WHO确定新冠病毒源自自然界,"[(0, 0.060256377), (1, 0.93974364)]",0.06025637686252594,0.9397436380386353
想不到与想得到,"[(0, 0.074496634), (1, 0.9255034)]",0.07449663430452347,0.9255033731460571
嘘 小动物出没，注意！,"[(0, 0.33842283), (1, 0.66157717)]",0.33842283487319946,0.6615771651268005
小别100天大剧院 约你今晚再相会,"[(0, 0.025236597), (1, 0.9747634)]",0.025236597284674644,0.9747633934020996
画中这滴泪挂在所有人心上,"[(0, 0.800649), (1, 0.19935103)]",0.8006489872932434,0.19935102760791779
踢场桌上足球  点齐两队人马,"[(0, 0.018082095), (1, 0.98191786)]",0.018082095310091972,0.9819178581237793
一入鞋圈深似海  这些潮鞋你有吗,"[(0, 0.32942033), (1, 0.6705797)]",0.3294203281402588,0.6705796718597412
小谭学烧上海菜,"[(0, 0.8083178), (1, 0.19168219)]",0.8083177804946899,0.19168218970298767
库肯霍夫的郁金香公园,"[(0, 0.37914556), (1, 0.6208544)]",0.3791455626487732,0.620854377746582
澳门情绪,"[(0, 0.019666746), (1, 0.98033327)]",0.019666746258735657,0.9803332686424255
一颗诗心度春秋,"[(0, 0.92951), (1, 0.07048998)]",0.9295099973678589,0.07048998028039932
三言两语记,"[(0, 0.9701252), (1, 0.029874774)]",0.9701251983642578,0.02987477369606495
带头消费,"[(0, 0.6076461), (1, 0.3923539)]",0.607646107673645,0.392353892326355
阿奶吃毛蟹,"[(0, 0.94018614), (1, 0.059813835)]",0.9401861429214478,0.059813834726810455
“郁半城”的藏书楼,"[(0, 0.031910278), (1, 0.96808976)]",0.03191027790307999,0.968089759349823
生活意味着什么,"[(0, 0.990386)]",0.9903860092163086,0.0
中药剂量应用之补议（中）,"[(0, 0.44088128), (1, 0.55911875)]",0.44088128209114075,0.5591187477111816
主要看效果,"[(0, 0.7002568), (1, 0.29974324)]",0.7002568244934082,0.2997432351112366
顾民权 让更多人享受歌唱的快乐,"[(0, 0.8820831), (1, 0.11791691)]",0.8820831179618835,0.11791691184043884
蘸着酱油吃,"[(0, 0.48766768), (1, 0.5123323)]",0.48766767978668213,0.5123323202133179
散书之痛,"[(0, 0.18352796), (1, 0.81647205)]",0.18352796137332916,0.816472053527832
仲春余村行,"[(0, 0.3302084), (1, 0.6697916)]",0.3302083909511566,0.669791579246521
听母亲讲谚语,"[(0, 0.9942875)]",0.9942874908447266,0.0
过敏性鼻炎喝点蝉蜕粥,"[(0, 0.033571254), (1, 0.96642876)]",0.03357125446200371,0.9664287567138672
做“三好”老人,"[(0, 0.8080204), (1, 0.19197954)]",0.8080204129219055,0.1919795423746109
少发无名火，活到九十九,"[(0, 0.99112695)]",0.9911269545555115,0.0
百岁老拳师能武又能文,"[(0, 0.46335968), (1, 0.53664035)]",0.46335968375205994,0.5366403460502625
五五购物节 明天大直播,"[(0, 0.12313066), (1, 0.8768693)]",0.12313065677881241,0.8768693208694458
买买买，买起来！,"[(0, 0.13729106), (1, 0.8627089)]",0.1372910588979721,0.8627089262008667
“魔方”“炸鸡”助力淮海路商圈热起来,"[(0, 0.8122056), (1, 0.18779439)]",0.8122056126594543,0.18779438734054565
上海“首店经济”韧性十足,"[(0, 0.14434884), (1, 0.85565114)]",0.1443488448858261,0.8556511402130127
4月上汽终端销量率先正增长,"[(0, 0.22759825), (1, 0.77240175)]",0.22759824991226196,0.772401750087738
童鞋折扣给力听书也有优惠,"[(0, 0.0900536), (1, 0.9099464)]",0.09005360305309296,0.9099463820457458
“小狐狸”重新迎来打卡粉丝热潮,"[(0, 0.39358193), (1, 0.6064181)]",0.39358192682266235,0.6064180731773376
上海昨新增1例境外输入病例,"[(0, 0.039927308), (1, 0.9600727)]",0.03992730751633644,0.9600726962089539
昨新增　确诊病例2例,"[(0, 0.022159653), (1, 0.97784036)]",0.022159652784466743,0.9778403639793396
国漫才女：一支笔就是一个世界,"[(0, 0.9633114), (1, 0.03668869)]",0.9633113741874695,0.03668868914246559
今天白天气温“高歌猛进”直逼34℃,"[(0, 0.53546745), (1, 0.46453255)]",0.5354674458503723,0.4645325541496277
申城首次启动景区提醒机制,"[(0, 0.8915775), (1, 0.10842256)]",0.8915774822235107,0.10842256247997284
每次风险担当都是生命的机会,"[(0, 0.9223072), (1, 0.07769281)]",0.9223071932792664,0.07769280672073364
俄罗斯住建部长确诊感染入院,"[(0, 0.046589423), (1, 0.95341057)]",0.04658942297101021,0.9534105658531189
哈萨克斯坦议长被终止议员职务,"[(0, 0.038016997), (1, 0.961983)]",0.038016997277736664,0.9619830250740051
美政府四大失误令疫情加速蔓延,"[(0, 0.051071353), (1, 0.94892865)]",0.05107135325670242,0.9489286541938782
老建筑续写新故事,"[(0, 0.22784466), (1, 0.77215534)]",0.22784465551376343,0.7721553444862366
五五购物节明天全球大直播,"[(0, 0.01565656), (1, 0.98434347)]",0.01565656065940857,0.9843434691429138
80岁的古堡里藏着宝,"[(0, 0.04612783), (1, 0.95387214)]",0.04612782970070839,0.9538721442222595
四大联赛为何还不放弃,"[(0, 0.085277565), (1, 0.91472244)]",0.08527756482362747,0.9147224426269531
球员有球踢球迷有球看,"[(0, 0.060334142), (1, 0.93966585)]",0.06033414229750633,0.9396658539772034
意无涯,"[(0, 0.06935068), (1, 0.9306493)]",0.06935068219900131,0.9306492805480957
荧屏上的博物馆四十分钟阅千年,"[(0, 0.22584549), (1, 0.77415454)]",0.22584548592567444,0.774154543876648
许忠 天赋不可靠，勤奋才是秘诀,"[(0, 0.9860602), (1, 0.013939771)]",0.9860602021217346,0.013939770869910717
新书速递,"[(0, 0.9824631), (1, 0.017536877)]",0.9824631214141846,0.01753687672317028
一位知识分子的坚守,"[(0, 0.534276), (1, 0.46572393)]",0.534276008605957,0.4657239317893982
文笔犁开的感情，认识和纪念,"[(0, 0.9004809), (1, 0.09951913)]",0.9004809260368347,0.09951913356781006
从小细节看大时代,"[(0, 0.9688742), (1, 0.031125749)]",0.9688742160797119,0.03112574853003025
你在（外3首）,"[(0, 0.12081971), (1, 0.87918025)]",0.12081971019506454,0.8791802525520325
失眠者,"[(0, 0.92954516), (1, 0.07045485)]",0.9295451641082764,0.07045485079288483
字纸上的吉光片羽,"[(0, 0.16509129), (1, 0.8349087)]",0.16509129106998444,0.8349087238311768
阿姨须听太太指挥,"[(0, 0.9837364), (1, 0.016263586)]",0.9837363958358765,0.016263585537672043
到头不似老僧“咸”,"[(0, 0.757579), (1, 0.24242097)]",0.7575790286064148,0.2424209713935852
老实泉边的庄严,"[(0, 0.9774038), (1, 0.022596229)]",0.9774038195610046,0.02259622886776924
中医药一家,"[(0, 0.82449704), (1, 0.17550293)]",0.8244970440864563,0.1755029261112213
“炒鱿鱼”与最低工资,"[(0, 0.0121718785), (1, 0.98782814)]",0.012171878479421139,0.9878281354904175
带上扑克，出发！,"[(0, 0.9824437), (1, 0.017556315)]",0.9824436902999878,0.017556315287947655
麦新与《大刀进行曲》,"[(0, 0.9299757), (1, 0.07002436)]",0.929975688457489,0.07002436369657516
耕与读,"[(0, 0.23985036), (1, 0.7601496)]",0.23985035717487335,0.7601495981216431
引鲤,"[(0, 0.90171134), (1, 0.098288655)]",0.9017113447189331,0.0982886552810669
科学与艺术的对话,"[(0, 0.86555755), (1, 0.1344424)]",0.8655575513839722,0.13444240391254425
一支画笔播种希望,"[(0, 0.75434256), (1, 0.24565743)]",0.7543425559997559,0.24565742909908295
美在“意想不到”,"[(0, 0.70774156), (1, 0.29225844)]",0.7077415585517883,0.29225844144821167
幽微之处见真章,"[(0, 0.988852), (1, 0.011148026)]",0.9888520240783691,0.011148026213049889
化零为整是“顿党”,"[(0, 0.96164346), (1, 0.038356584)]",0.9616434574127197,0.038356583565473557
“哑”字原非指无声,"[(0, 0.022401799), (1, 0.9775982)]",0.022401798516511917,0.9775981903076172
小鲍，简简单单个味道,"[(0, 0.04627968), (1, 0.95372033)]",0.046279679983854294,0.9537203311920166
修修补补过日脚,"[(0, 0.69312924), (1, 0.30687076)]",0.6931292414665222,0.3068707585334778
老早开学辰光个小事体,"[(0, 0.91131675), (1, 0.08868326)]",0.9113167524337769,0.08868326246738434
智能眼镜,"[(0, 0.9789467), (1, 0.021053286)]",0.9789466857910156,0.021053286269307137
我的网课生活,"[(0, 0.96237373), (1, 0.03762628)]",0.9623737335205078,0.03762628138065338
热爱工作的人值得尊重,"[(0, 0.9609856), (1, 0.039014433)]",0.9609856009483337,0.039014432579278946
一个平凡的人,"[(0, 0.9290516), (1, 0.070948444)]",0.9290515780448914,0.07094844430685043
